,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
516,less than 0,6,critical account or other credits existing not at this bank,new car,1361,less than 100,less than 1 year,2,male-single,none,4,real estate,40,none,own,1,unskilled,2,none,no,1
517,no checking account,36,critical account or other credits existing not at this bank,furniture,7127,less than 100,less than 1 year,2,female-divorced_married_or_single,none,4,life insurance,23,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,2
518,less than 0,6,existing credits paid back duly till now,new car,1203,100-500,greater than 7 years,3,male-single,none,2,life insurance,43,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
519,no checking account,6,critical account or other credits existing not at this bank,television,700,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,36,none,for free,2,skilled employee,1,none,yes,1
520,no checking account,24,critical account or other credits existing not at this bank,repairs,5507,less than 100,greater than 7 years,3,male-single,none,4,unknown,44,none,for free,2,skilled employee,1,none,yes,1
521,less than 0,18,existing credits paid back duly till now,television,3190,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,real estate,24,none,own,1,skilled employee,1,none,yes,2
522,less than 0,48,no credits taken or all credits paid back duly,furniture,7119,less than 100,1-4 years,3,male-single,none,4,unknown,53,none,for free,2,skilled employee,2,none,yes,2
523,no checking account,24,existing credits paid back duly till now,used car,3488,100-500,4-7 years,3,female-divorced_married_or_single,none,4,car or other,23,none,own,1,skilled employee,1,none,yes,1
524,0-200,18,existing credits paid back duly till now,television,1113,less than 100,1-4 years,4,female-divorced_married_or_single,guarantor,4,real estate,26,none,own,1,unskilled,2,none,yes,1
525,0-200,26,existing credits paid back duly till now,used car,7966,less than 100,less than 1 year,2,male-single,none,3,car or other,30,none,own,2,skilled employee,1,none,yes,1
526,no checking account,15,critical account or other credits existing not at this bank,education,1532,100-500,1-4 years,4,female-divorced_married_or_single,none,3,car or other,31,none,own,1,skilled employee,1,none,yes,1
527,no checking account,4,critical account or other credits existing not at this bank,television,1503,less than 100,4-7 years,2,male-single,none,1,real estate,42,none,own,2,unskilled,2,none,yes,1
528,less than 0,36,existing credits paid back duly till now,television,2302,less than 100,1-4 years,4,male-divorced,none,4,car or other,31,none,rent,1,skilled employee,1,none,yes,2
529,less than 0,6,existing credits paid back duly till now,new car,662,less than 100,less than 1 year,3,male-single,none,4,real estate,41,none,own,1,unskilled,2,"yes, registered under the customer name",yes,1
530,0-200,36,existing credits paid back duly till now,education,2273,less than 100,4-7 years,3,male-single,none,1,car or other,32,none,own,2,skilled employee,2,none,yes,1
531,0-200,15,existing credits paid back duly till now,new car,2631,100-500,1-4 years,2,female-divorced_married_or_single,none,4,car or other,28,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,2
532,no checking account,12,delay in paying off in the past,used car,1503,less than 100,1-4 years,4,male-married_widowed,none,4,real estate,41,none,rent,1,skilled employee,1,none,yes,1
533,no checking account,24,existing credits paid back duly till now,television,1311,100-500,4-7 years,4,male-married_widowed,none,3,life insurance,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
534,no checking account,24,existing credits paid back duly till now,television,3105,unknown or no savings account,less than 1 year,4,male-single,none,2,car or other,25,none,own,2,skilled employee,1,none,yes,1
535,greater than $200,21,critical account or other credits existing not at this bank,education,2319,less than 100,less than 1 year,2,male-divorced,none,1,car or other,33,none,rent,1,skilled employee,1,none,yes,2
536,less than 0,6,existing credits paid back duly till now,new car,1374,unknown or no savings account,unemployed,4,female-divorced_married_or_single,none,3,life insurance,75,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
537,0-200,18,critical account or other credits existing not at this bank,furniture,3612,less than 100,greater than 7 years,3,female-divorced_married_or_single,none,4,life insurance,37,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
538,less than 0,48,existing credits paid back duly till now,new car,7763,less than 100,greater than 7 years,4,male-single,none,4,unknown,42,bank,for free,1,management or self-employed or officer,1,none,yes,2
539,greater than $200,18,existing credits paid back duly till now,furniture,3049,less than 100,less than 1 year,1,female-divorced_married_or_single,none,1,life insurance,45,stores,own,1,unskilled,1,none,yes,1
540,0-200,12,existing credits paid back duly till now,television,1534,less than 100,less than 1 year,1,male-married_widowed,none,1,real estate,23,none,rent,1,skilled employee,1,none,yes,2
541,no checking account,24,delay in paying off in the past,new car,2032,less than 100,greater than 7 years,4,male-single,none,4,unknown,60,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,1
542,less than 0,30,existing credits paid back duly till now,furniture,6350,unknown or no savings account,greater than 7 years,4,male-single,none,4,life insurance,31,none,own,1,skilled employee,1,none,yes,2
543,greater than $200,18,existing credits paid back duly till now,furniture,2864,less than 100,1-4 years,2,male-single,none,1,real estate,34,none,own,1,unskilled,2,none,yes,2
544,no checking account,12,critical account or other credits existing not at this bank,new car,1255,less than 100,greater than 7 years,4,male-single,none,4,real estate,61,none,own,2,unskilled,1,none,yes,1
545,less than 0,24,delay in paying off in the past,new car,1333,less than 100,unemployed,4,male-single,none,2,real estate,43,none,for free,2,skilled employee,2,none,yes,2
546,no checking account,24,critical account or other credits existing not at this bank,new car,2022,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,car or other,37,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
547,no checking account,24,existing credits paid back duly till now,television,1552,less than 100,4-7 years,3,male-single,none,1,car or other,32,bank,own,1,skilled employee,2,none,yes,1
548,less than 0,12,all credits at this bank paid back duly,television,626,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,real estate,24,bank,own,1,unskilled,1,none,yes,2
549,no checking account,48,critical account or other credits existing not at this bank,used car,8858,unknown or no savings account,4-7 years,2,male-single,none,1,unknown,35,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,1
550,no checking account,12,critical account or other credits existing not at this bank,repairs,996,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,4,real estate,23,none,own,2,skilled employee,1,none,yes,1
551,no checking account,6,all credits at this bank paid back duly,television,1750,500-1000,greater than 7 years,2,male-single,none,4,life insurance,45,bank,own,1,unskilled,2,none,yes,1
552,less than 0,48,existing credits paid back duly till now,television,6999,less than 100,4-7 years,1,male-married_widowed,guarantor,1,real estate,34,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
553,0-200,12,critical account or other credits existing not at this bank,new car,1995,100-500,less than 1 year,4,male-single,none,1,car or other,27,none,own,1,skilled employee,1,none,yes,1
554,0-200,9,existing credits paid back duly till now,education,1199,less than 100,4-7 years,4,female-divorced_married_or_single,none,4,life insurance,67,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
555,0-200,12,existing credits paid back duly till now,television,1331,less than 100,less than 1 year,2,male-single,none,1,car or other,22,stores,own,1,skilled employee,1,none,yes,2
556,0-200,18,no credits taken or all credits paid back duly,new car,2278,100-500,less than 1 year,3,female-divorced_married_or_single,none,3,car or other,28,none,own,2,skilled employee,1,none,yes,2
557,no checking account,21,no credits taken or all credits paid back duly,new car,5003,unknown or no savings account,1-4 years,1,female-divorced_married_or_single,none,4,life insurance,29,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
558,less than 0,24,all credits at this bank paid back duly,furniture,3552,less than 100,4-7 years,3,male-single,none,4,car or other,27,bank,own,1,skilled employee,1,none,yes,2
559,0-200,18,critical account or other credits existing not at this bank,furniture,1928,less than 100,less than 1 year,2,male-single,none,2,real estate,31,none,own,2,unskilled,1,none,yes,2
560,less than 0,24,existing credits paid back duly till now,used car,2964,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,49,bank,for free,1,skilled employee,2,"yes, registered under the customer name",yes,1
561,less than 0,24,all credits at this bank paid back duly,television,1546,less than 100,4-7 years,4,male-single,guarantor,4,car or other,24,bank,rent,1,unskilled,1,none,yes,2
562,greater than $200,6,delay in paying off in the past,television,683,less than 100,less than 1 year,2,female-divorced_married_or_single,none,1,life insurance,29,bank,own,1,skilled employee,1,none,yes,1
563,0-200,36,existing credits paid back duly till now,new car,12389,unknown or no savings account,1-4 years,1,male-single,none,4,unknown,37,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,2
564,0-200,24,delay in paying off in the past,business,4712,unknown or no savings account,1-4 years,4,male-single,none,2,life insurance,37,bank,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
565,0-200,24,delay in paying off in the past,television,1553,100-500,4-7 years,3,female-divorced_married_or_single,none,2,life insurance,23,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,1
566,less than 0,12,existing credits paid back duly till now,new car,1372,less than 100,4-7 years,2,male-divorced,none,3,car or other,36,none,own,1,skilled employee,1,none,yes,2
567,no checking account,24,critical account or other credits existing not at this bank,television,2578,greater than 1000,greater than 7 years,2,male-single,none,2,car or other,34,none,own,1,skilled employee,1,none,yes,1
568,0-200,48,existing credits paid back duly till now,television,3979,unknown or no savings account,4-7 years,4,male-single,none,1,car or other,41,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
569,less than 0,48,existing credits paid back duly till now,television,6758,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,car or other,31,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
570,less than 0,24,existing credits paid back duly till now,furniture,3234,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,real estate,23,none,rent,1,unskilled,1,"yes, registered under the customer name",yes,2
571,no checking account,30,critical account or other credits existing not at this bank,television,5954,less than 100,4-7 years,3,male-single,co-applicant,2,car or other,38,none,own,1,skilled employee,1,none,yes,1
572,no checking account,24,existing credits paid back duly till now,used car,5433,unknown or no savings account,unemployed,2,female-divorced_married_or_single,none,4,life insurance,26,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
573,less than 0,15,existing credits paid back duly till now,business,806,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,life insurance,22,none,own,1,unskilled,1,none,yes,1
574,0-200,9,existing credits paid back duly till now,television,1082,less than 100,greater than 7 years,4,male-single,none,4,car or other,27,none,own,2,unskilled,1,none,yes,1
575,no checking account,15,critical account or other credits existing not at this bank,furniture,2788,less than 100,4-7 years,2,female-divorced_married_or_single,co-applicant,3,car or other,24,bank,own,2,skilled employee,1,none,yes,1
576,0-200,12,existing credits paid back duly till now,television,2930,less than 100,4-7 years,2,female-divorced_married_or_single,none,1,real estate,27,none,own,1,skilled employee,1,none,yes,1
577,no checking account,24,critical account or other credits existing not at this bank,education,1927,unknown or no savings account,1-4 years,3,female-divorced_married_or_single,none,2,car or other,33,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
578,0-200,36,critical account or other credits existing not at this bank,new car,2820,less than 100,less than 1 year,4,male-divorced,none,4,car or other,27,none,own,2,skilled employee,1,none,yes,2
579,no checking account,24,existing credits paid back duly till now,retraining,937,less than 100,less than 1 year,4,male-married_widowed,none,3,car or other,27,none,own,2,unskilled,1,none,yes,1
580,0-200,18,critical account or other credits existing not at this bank,new car,1056,less than 100,greater than 7 years,3,male-single,guarantor,3,real estate,30,bank,own,2,skilled employee,1,none,yes,2
581,0-200,12,critical account or other credits existing not at this bank,new car,3124,less than 100,less than 1 year,1,male-single,none,3,real estate,49,bank,own,2,unskilled,2,none,yes,1
582,no checking account,9,existing credits paid back duly till now,furniture,1388,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,real estate,26,none,rent,1,skilled employee,1,none,yes,1
583,0-200,36,existing credits paid back duly till now,repairs,2384,less than 100,less than 1 year,4,male-single,none,1,unknown,33,none,rent,1,unskilled,1,none,yes,2
584,no checking account,12,existing credits paid back duly till now,new car,2133,unknown or no savings account,greater than 7 years,4,female-divorced_married_or_single,none,4,unknown,52,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
585,less than 0,18,existing credits paid back duly till now,furniture,2039,less than 100,1-4 years,1,female-divorced_married_or_single,none,4,real estate,20,bank,rent,1,skilled employee,1,none,yes,2
586,less than 0,9,critical account or other credits existing not at this bank,new car,2799,less than 100,1-4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled employee,2,none,yes,1
587,less than 0,12,existing credits paid back duly till now,furniture,1289,less than 100,1-4 years,4,male-single,guarantor,1,life insurance,21,none,own,1,unskilled,1,none,yes,1
588,less than 0,18,existing credits paid back duly till now,domestic appliances,1217,less than 100,1-4 years,4,male-married_widowed,none,3,real estate,47,none,own,1,unskilled,1,"yes, registered under the customer name",yes,2
589,less than 0,12,critical account or other credits existing not at this bank,furniture,2246,less than 100,greater than 7 years,3,male-single,none,3,life insurance,60,none,own,2,skilled employee,1,none,yes,2
590,less than 0,12,critical account or other credits existing not at this bank,television,385,less than 100,4-7 years,4,female-divorced_married_or_single,none,3,real estate,58,none,own,4,unskilled,1,"yes, registered under the customer name",yes,1
591,0-200,24,delay in paying off in the past,new car,1965,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,4,car or other,42,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,1
592,no checking account,21,existing credits paid back duly till now,business,1572,greater than 1000,greater than 7 years,4,female-divorced_married_or_single,none,4,real estate,36,bank,own,1,unskilled,1,none,yes,1
593,0-200,24,existing credits paid back duly till now,new car,2718,less than 100,1-4 years,3,female-divorced_married_or_single,none,4,life insurance,20,none,rent,1,unskilled,1,"yes, registered under the customer name",yes,2
594,less than 0,24,all credits at this bank paid back duly,others,1358,unknown or no savings account,greater than 7 years,4,male-single,none,3,car or other,40,stores,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
595,0-200,6,all credits at this bank paid back duly,new car,931,100-500,less than 1 year,1,female-divorced_married_or_single,none,1,life insurance,32,stores,own,1,unskilled,1,none,yes,2
596,less than 0,24,existing credits paid back duly till now,new car,1442,less than 100,4-7 years,4,female-divorced_married_or_single,none,4,car or other,23,none,rent,2,skilled employee,1,none,yes,2
597,0-200,24,no credits taken or all credits paid back duly,business,4241,less than 100,1-4 years,1,male-single,none,4,real estate,36,none,own,3,unskilled,1,"yes, registered under the customer name",yes,2
598,no checking account,18,critical account or other credits existing not at this bank,new car,2775,less than 100,4-7 years,2,male-single,none,2,life insurance,31,bank,own,2,skilled employee,1,none,yes,2
599,no checking account,24,delay in paying off in the past,business,3863,less than 100,1-4 years,1,male-single,none,2,unknown,32,none,for free,1,skilled employee,1,none,yes,1
600,0-200,7,existing credits paid back duly till now,television,2329,less than 100,less than 1 year,1,female-divorced_married_or_single,guarantor,1,real estate,45,none,own,1,skilled employee,1,none,yes,1
601,0-200,9,existing credits paid back duly till now,furniture,918,less than 100,1-4 years,4,female-divorced_married_or_single,none,1,life insurance,30,none,own,1,skilled employee,1,none,yes,2
602,0-200,24,all credits at this bank paid back duly,education,1837,less than 100,4-7 years,4,female-divorced_married_or_single,none,4,unknown,34,bank,for free,1,unskilled,1,none,yes,2
603,no checking account,36,existing credits paid back duly till now,furniture,3349,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,car or other,28,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
604,greater than $200,10,existing credits paid back duly till now,furniture,1275,less than 100,less than 1 year,4,female-divorced_married_or_single,none,2,life insurance,23,none,own,1,skilled employee,1,none,yes,1
605,less than 0,24,all credits at this bank paid back duly,furniture,2828,500-1000,1-4 years,4,male-single,none,4,real estate,22,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
606,no checking account,24,critical account or other credits existing not at this bank,business,4526,less than 100,1-4 years,3,male-single,none,2,real estate,74,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
607,0-200,36,existing credits paid back duly till now,television,2671,100-500,1-4 years,4,female-divorced_married_or_single,co-applicant,4,unknown,50,none,for free,1,skilled employee,1,none,yes,2
608,no checking account,18,existing credits paid back duly till now,television,2051,less than 100,less than 1 year,4,male-single,none,1,real estate,33,none,own,1,skilled employee,1,none,yes,1
609,no checking account,15,existing credits paid back duly till now,used car,1300,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,45,bank,for free,1,skilled employee,2,none,yes,1
610,less than 0,12,existing credits paid back duly till now,domestic appliances,741,100-500,unemployed,4,female-divorced_married_or_single,none,3,life insurance,22,none,own,1,skilled employee,1,none,yes,2
611,greater than $200,10,existing credits paid back duly till now,new car,1240,100-500,greater than 7 years,1,female-divorced_married_or_single,none,4,unknown,48,none,for free,1,unskilled,2,none,yes,2
612,less than 0,21,existing credits paid back duly till now,television,3357,greater than 1000,less than 1 year,4,female-divorced_married_or_single,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes,1
613,less than 0,24,all credits at this bank paid back duly,used car,3632,less than 100,1-4 years,1,female-divorced_married_or_single,guarantor,4,car or other,22,bank,rent,1,skilled employee,1,none,no,1
614,no checking account,18,delay in paying off in the past,furniture,1808,less than 100,4-7 years,4,female-divorced_married_or_single,none,1,real estate,22,none,own,1,skilled employee,1,none,yes,2
615,0-200,48,no credits taken or all credits paid back duly,business,12204,unknown or no savings account,1-4 years,2,male-single,none,2,car or other,48,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
616,0-200,60,delay in paying off in the past,television,9157,unknown or no savings account,1-4 years,2,male-single,none,2,unknown,27,none,for free,1,management or self-employed or officer,1,none,yes,1
617,less than 0,6,critical account or other credits existing not at this bank,new car,3676,less than 100,1-4 years,1,male-single,none,3,real estate,37,none,rent,3,skilled employee,2,none,yes,1
618,0-200,30,existing credits paid back duly till now,furniture,3441,100-500,1-4 years,2,female-divorced_married_or_single,co-applicant,4,car or other,21,none,rent,1,skilled employee,1,none,yes,2
619,no checking account,12,existing credits paid back duly till now,new car,640,less than 100,1-4 years,4,male-divorced,none,2,real estate,49,none,own,1,unskilled,1,none,yes,1
620,0-200,21,critical account or other credits existing not at this bank,business,3652,less than 100,4-7 years,2,male-single,none,3,life insurance,27,none,own,2,skilled employee,1,none,yes,1
621,no checking account,18,critical account or other credits existing not at this bank,new car,1530,less than 100,1-4 years,3,male-single,none,2,life insurance,32,bank,own,2,skilled employee,1,none,yes,2
622,no checking account,48,existing credits paid back duly till now,business,3914,unknown or no savings account,1-4 years,4,male-divorced,none,2,real estate,38,bank,own,1,skilled employee,1,none,yes,2
623,less than 0,12,existing credits paid back duly till now,furniture,1858,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,car or other,22,none,rent,1,skilled employee,1,none,yes,1
624,less than 0,18,existing credits paid back duly till now,television,2600,less than 100,1-4 years,4,male-single,none,4,unknown,65,none,for free,2,skilled employee,1,none,yes,2
625,no checking account,15,existing credits paid back duly till now,television,1979,unknown or no savings account,greater than 7 years,4,male-single,none,2,car or other,35,none,own,1,skilled employee,1,none,yes,1
626,greater than $200,6,existing credits paid back duly till now,furniture,2116,less than 100,1-4 years,2,male-single,none,2,real estate,41,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
627,0-200,9,all credits at this bank paid back duly,new car,1437,100-500,4-7 years,2,male-single,none,3,unknown,29,none,own,1,skilled employee,1,none,yes,2
628,no checking account,42,critical account or other credits existing not at this bank,furniture,4042,500-1000,1-4 years,4,male-single,none,4,real estate,36,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
629,no checking account,9,existing credits paid back duly till now,education,3832,unknown or no savings account,greater than 7 years,1,male-single,none,4,real estate,64,none,own,1,unskilled,1,none,yes,1
630,less than 0,24,existing credits paid back duly till now,television,3660,less than 100,1-4 years,2,female-divorced_married_or_single,none,4,car or other,28,none,own,1,skilled employee,1,none,yes,1
631,less than 0,18,all credits at this bank paid back duly,furniture,1553,less than 100,1-4 years,4,male-single,none,3,car or other,44,bank,own,1,skilled employee,1,none,yes,2
632,0-200,15,existing credits paid back duly till now,television,1444,unknown or no savings account,less than 1 year,4,male-single,none,1,life insurance,23,none,own,1,skilled employee,1,none,yes,1
633,no checking account,9,existing credits paid back duly till now,furniture,1980,less than 100,less than 1 year,2,female-divorced_married_or_single,co-applicant,2,car or other,19,none,rent,2,skilled employee,1,none,yes,2
634,0-200,24,existing credits paid back duly till now,new car,1355,less than 100,less than 1 year,3,female-divorced_married_or_single,none,4,car or other,25,none,own,1,unskilled,1,"yes, registered under the customer name",yes,2
635,no checking account,12,existing credits paid back duly till now,education,1393,less than 100,greater than 7 years,4,male-single,none,4,life insurance,47,bank,own,3,skilled employee,2,"yes, registered under the customer name",yes,1
636,no checking account,24,existing credits paid back duly till now,television,1376,500-1000,4-7 years,4,female-divorced_married_or_single,none,1,car or other,28,none,own,1,skilled employee,1,none,yes,1
637,no checking account,60,delay in paying off in the past,television,15653,less than 100,4-7 years,2,male-single,none,4,car or other,21,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
638,no checking account,12,existing credits paid back duly till now,television,1493,less than 100,less than 1 year,4,female-divorced_married_or_single,none,3,car or other,34,none,own,1,skilled employee,2,none,yes,1
639,less than 0,42,delay in paying off in the past,television,4370,less than 100,4-7 years,3,male-single,none,2,life insurance,26,bank,own,2,skilled employee,2,"yes, registered under the customer name",yes,2
640,less than 0,18,existing credits paid back duly till now,education,750,less than 100,unemployed,4,female-divorced_married_or_single,none,1,real estate,27,none,own,1,unemployed,1,none,yes,2
641,0-200,15,existing credits paid back duly till now,repairs,1308,less than 100,greater than 7 years,4,male-single,none,4,car or other,38,none,own,2,unskilled,1,none,yes,1
642,no checking account,15,existing credits paid back duly till now,education,4623,100-500,1-4 years,3,male-single,none,2,life insurance,40,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
643,no checking account,24,critical account or other credits existing not at this bank,television,1851,less than 100,4-7 years,4,male-married_widowed,guarantor,2,car or other,33,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
644,less than 0,18,critical account or other credits existing not at this bank,television,1880,less than 100,4-7 years,4,male-married_widowed,none,1,life insurance,32,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
645,no checking account,36,delay in paying off in the past,business,7980,unknown or no savings account,less than 1 year,4,male-single,none,4,car or other,27,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,2
646,less than 0,30,no credits taken or all credits paid back duly,furniture,4583,less than 100,1-4 years,2,male-divorced,guarantor,2,real estate,32,none,own,2,skilled employee,1,none,yes,1
647,no checking account,12,existing credits paid back duly till now,new car,1386,500-1000,1-4 years,2,female-divorced_married_or_single,none,2,life insurance,26,none,own,1,skilled employee,1,none,yes,2
648,greater than $200,24,existing credits paid back duly till now,new car,947,less than 100,4-7 years,4,male-single,none,3,unknown,38,bank,for free,1,skilled employee,2,none,yes,2
649,less than 0,12,existing credits paid back duly till now,education,684,less than 100,1-4 years,4,male-single,none,4,car or other,40,none,rent,1,unskilled,2,none,yes,2
650,less than 0,48,existing credits paid back duly till now,education,7476,less than 100,4-7 years,4,male-single,none,1,unknown,50,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
651,0-200,12,existing credits paid back duly till now,furniture,1922,less than 100,1-4 years,4,male-single,none,2,life insurance,37,none,own,1,unskilled,1,none,yes,2
652,less than 0,24,existing credits paid back duly till now,new car,2303,less than 100,greater than 7 years,4,male-single,co-applicant,1,real estate,45,none,own,1,skilled employee,1,none,yes,2
653,0-200,36,delay in paying off in the past,new car,8086,100-500,greater than 7 years,2,male-single,none,4,car or other,42,none,own,4,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
654,no checking account,24,critical account or other credits existing not at this bank,used car,2346,less than 100,4-7 years,4,male-single,none,3,car or other,35,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
655,less than 0,14,existing credits paid back duly till now,new car,3973,less than 100,unemployed,1,male-single,none,4,unknown,22,none,for free,1,skilled employee,1,none,yes,1
656,0-200,12,existing credits paid back duly till now,new car,888,less than 100,greater than 7 years,4,male-single,none,4,car or other,41,bank,own,1,unskilled,2,none,yes,2
657,no checking account,48,existing credits paid back duly till now,television,10222,unknown or no savings account,4-7 years,4,male-single,none,3,car or other,37,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
658,0-200,30,no credits taken or all credits paid back duly,business,4221,less than 100,1-4 years,2,female-divorced_married_or_single,none,1,car or other,28,none,own,2,skilled employee,1,none,yes,1
659,0-200,18,critical account or other credits existing not at this bank,furniture,6361,less than 100,greater than 7 years,2,male-single,none,1,unknown,41,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
660,greater than $200,12,existing credits paid back duly till now,television,1297,less than 100,1-4 years,3,male-married_widowed,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,1
661,less than 0,12,existing credits paid back duly till now,new car,900,unknown or no savings account,1-4 years,4,male-married_widowed,none,2,car or other,23,none,own,1,skilled employee,1,none,yes,2
662,no checking account,21,existing credits paid back duly till now,furniture,2241,less than 100,greater than 7 years,4,male-single,none,2,real estate,50,none,own,2,skilled employee,1,none,yes,1
663,0-200,6,delay in paying off in the past,furniture,1050,less than 100,unemployed,4,male-single,none,1,life insurance,35,stores,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
664,greater than $200,6,critical account or other credits existing not at this bank,education,1047,less than 100,1-4 years,2,female-divorced_married_or_single,none,4,life insurance,50,none,own,1,unskilled,1,none,yes,1
665,no checking account,24,critical account or other credits existing not at this bank,others,6314,less than 100,unemployed,4,male-single,co-applicant,2,unknown,27,bank,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
666,0-200,30,all credits at this bank paid back duly,furniture,3496,greater than 1000,1-4 years,4,male-single,none,2,car or other,34,stores,own,1,skilled employee,2,"yes, registered under the customer name",yes,1
667,no checking account,48,all credits at this bank paid back duly,business,3609,less than 100,1-4 years,1,female-divorced_married_or_single,none,1,real estate,27,stores,own,1,skilled employee,1,none,yes,1
668,less than 0,12,critical account or other credits existing not at this bank,new car,4843,less than 100,greater than 7 years,3,male-single,co-applicant,4,life insurance,43,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,2
669,greater than $200,30,critical account or other credits existing not at this bank,television,3017,less than 100,greater than 7 years,4,male-single,none,4,life insurance,47,none,own,1,skilled employee,1,none,yes,1
670,no checking account,24,critical account or other credits existing not at this bank,business,4139,100-500,1-4 years,3,male-single,none,3,life insurance,27,none,own,2,unskilled,1,"yes, registered under the customer name",yes,1
671,no checking account,36,existing credits paid back duly till now,business,5742,100-500,4-7 years,2,male-single,none,2,car or other,31,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
672,no checking account,60,existing credits paid back duly till now,new car,10366,less than 100,greater than 7 years,2,male-single,none,4,life insurance,42,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
673,no checking account,6,critical account or other credits existing not at this bank,new car,2080,500-1000,1-4 years,1,male-married_widowed,none,2,car or other,24,none,own,1,skilled employee,1,none,yes,1
674,no checking account,21,delay in paying off in the past,business,2580,500-1000,less than 1 year,4,male-single,none,2,real estate,41,bank,own,1,unskilled,2,none,yes,2
675,no checking account,30,critical account or other credits existing not at this bank,television,4530,less than 100,4-7 years,4,female-divorced_married_or_single,none,4,car or other,26,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
676,no checking account,24,critical account or other credits existing not at this bank,furniture,5150,less than 100,greater than 7 years,4,male-single,none,4,car or other,33,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
677,0-200,72,existing credits paid back duly till now,television,5595,100-500,1-4 years,2,male-married_widowed,none,2,car or other,24,none,own,1,skilled employee,1,none,yes,2
678,less than 0,24,existing credits paid back duly till now,television,2384,less than 100,greater than 7 years,4,male-single,none,4,real estate,64,bank,rent,1,unskilled,1,none,yes,1
